smiles,ea
[N:1]([c:2]1[n:3][o:4][c:5](=[O:6])[n:7]1[H:10])([H:8])[H:9]>>[C-:5]#[O+:6].[N:1](/[C:2]([N:3]=[O:4])=[N:7]\[H:10])([H:8])[H:9],89.74980507730601
[N:1]([c:2]1[n:3][o:4][c:5](=[O:6])[n:7]1[H:10])([H:8])[H:9]>>[N+:1]([c+:2]1[n-:3][o:4][c:5](=[O:6])[n-:7]1)([H:8])([H:9])[H:10],64.29312528691403
[N:1]([c:2]1[n:3][o:4][c:5](=[O:6])[n:7]1[H:10])([H:8])[H:9]>>[N:1](=[c:2]1\[n:3]([H:8])[o:4][c:5](=[O:6])[n:7]1[H:10])\[H:9],65.16270614681503
[N:1]([c:2]1[n:3][o:4][c:5](=[O:6])[n:7]1[H:10])([H:8])[H:9]>>[C:5](=[O:6])=[N:7][H:10].[N:1]([C:2]1=[N:3][O:4]1)([H:8])[H:9],96.28629370090268
[N:1]([c:2]1[n:3][o:4][c:5](=[O:6])[n:7]1[H:10])([H:8])[H:9]>>[N:1]([c:2]1[n:3][o:4][c:5]([O:6][H:10])[n:7]1)([H:8])[H:9],57.80205622450314
[C:1]([O:2][C:3](=[O:4])[N:5]([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2]/[C:3]([O:4][H:10])=[N:5]\[H:9])([H:6])([H:7])[H:8],55.225075242208
[C:1]([O:2][C:3](=[O:4])[N:5]([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:9])([H:6])([H:7])[H:8].[C:3](=[O:4])=[N:5][H:10],60.686994105906194
[N:1]([C:2](=[O:3])[C:4]([O:5][H:10])([H:8])[H:9])([H:6])[H:7]>>[N:1]([C-:2]=[O+:3][C:4]([O:5][H:10])([H:8])[H:9])([H:6])[H:7],104.60630865517984
[N:1]([C:2](=[O:3])[C:4]([O:5][H:10])([H:8])[H:9])([H:6])[H:7]>>[N+:1]([C:2]([O-:3])=[C:4]([O:5][H:10])[H:9])([H:6])([H:7])[H:8],90.60475541333395
[N:1]([C:2](=[O:3])[C:4]([O:5][H:10])([H:8])[H:9])([H:6])[H:7]>>[C:4](=[O:5])([H:8])[H:9].[N:1]([C:2](=[O:3])[H:10])([H:6])[H:7],104.59685452405921
